البند,القيمة,ملاحظة
سعر البيع للعميل,,شامل الشحن إن كان الشحن مجانياً
رسوم الشحن المحصلة من العميل,,صفر إن كان الشحن مجانياً
إجمالي ما يدفعه العميل,=B2+B3,
,,
تكلفة المنتج من المورد,,
تكلفة الشحن من المورد,,
إجمالي تكلفة البضاعة,=B5+B6,
,,
نسبة رسوم المنصة %,,تحسب على الإجمالي شاملا الشحن لا على سعر المنتج وحده
قيمة رسوم المنصة,=B4*B8,
رسوم ثابتة لكل طلب,,رسوم إدراج أو معالجة
نسبة رسوم بوابة الدفع %,,
قيمة رسوم البوابة,=B4*B11,
,,
احتياطي تحمل الضمان %,0.04,3-5% لإعادة الشحن والاسترداد تحت الشرط 5 - لا تحذفه
قيمة احتياطي الضمان,=B4*B13,
,,
الربح الصافي لكل وحدة,=B4-B7-B9-B10-B12-B14,
هامش الربح %,=B16/B4,اقل من 20% خطر - اقل من 15% غير قابل للاستمرار
,,
=== الفجوة النقدية ===,,
ايام حتى تدفع للمورد,0,عادة فورا عند الطلب
ايام حتى تستلم من المنصة,,حجز مدفوعات البائع الجديد قد يصل 21-30 يوم
طول الفجوة النقدية بالايام,=B20-B19,
عدد الطلبات المتوقعة خلال الفجوة,,
راس المال العامل المطلوب,=B7*B22,هذا ما يقتل اغلب المحاولات لا الهامش
